City,Year,Month,PM2.5,PM10,NOx,CO,NH3,O3,SO2,Benzene,Toluene,Xylene,AQI
Ahmedabad,2015,1,69.4159872458185,118.12710293078102,39.48096774193549,22.424793490615663,23.483476019371977,46.350645161290316,43.60290322580645,1.4638709677419355,2.531290322580645,2.9764516129032255,184.25742844161746
Ahmedabad,2015,2,110.88899049452529,118.12710293078102,49.00526321425751,19.7230640938306,23.483476019371977,47.133367550948364,57.980211848847496,8.05901860405363,21.669389865718273,7.2414422668034115,482.6925265881
Ahmedabad,2015,3,109.08163154673879,118.12710293078102,40.93061688171194,13.658019297067277,23.483476019371977,45.38940098308123,57.44393475019065,10.720994848532275,27.081321680001203,4.0406492846289845,394.1738949828
Ahmedabad,2015,4,101.682,118.12710293078102,26.932333333333336,7.306333333333333,23.483476019371974,31.375999999999998,51.233333333333334,2.6813333333333333,7.461,4.354,284.94393024815565
Ahmedabad,2015,5,74.91935483870968,118.12710293078102,24.751935483870966,8.529677419354838,23.483476019371977,31.624193548387098,35.97741935483871,3.690967741935484,10.779677419354838,5.206774193548387,260.3375348867398
Ahmedabad,2015,6,48.97366666666667,118.12710293078102,21.679,7.901666666666667,23.483476019371974,12.078,12.326666666666666,1.9143333333333332,5.551666666666667,0.6366666666666667,207.06666666666666
Ahmedabad,2015,7,52.41967741935484,118.12710293078102,13.110645161290323,5.8509677419354835,23.483476019371977,5.675161290322581,11.407741935483871,1.619032258064516,4.820645161290322,0.33225806451612905,168.88592198351398
Ahmedabad,2015,8,40.88,118.12710293078102,28.17516129032258,10.908709677419356,23.483476019371977,30.226129032258065,9.254516129032258,1.0964516129032258,2.261935483870968,0.2009677419354839,223.96774193548387
Ahmedabad,2015,9,43.14935259829676,118.12710293078102,27.456637444435668,11.16328660696952,23.483476019371974,24.426714349183936,9.119399241863666,0.11002801015001837,3.342699069334574,0.4836709274499504,245.5796914822267
Ahmedabad,2015,10,109.77064516129032,118.12710293078102,52.726129032258065,21.36935483870968,23.483476019371977,35.75677419354839,31.601612903225806,8.755806451612903,26.62741935483871,5.908387096774193,433.2557149347699
Ahmedabad,2015,11,91.79610976082542,118.12710293078102,41.979661222020376,10.057258626965625,23.483476019371974,38.75019206293174,17.955515896197667,9.818977566783756,21.629411928028546,4.862764664682192,211.4863179074447
Ahmedabad,2015,12,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037232,3.0701278234985114,166.4635814889336
Ahmedabad,2016,1,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037232,3.0701278234985114,166.4635814889336
Ahmedabad,2016,2,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037232,3.0701278234985114,166.4635814889336
Ahmedabad,2016,3,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037232,3.0701278234985114,166.4635814889336
Ahmedabad,2016,4,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371974,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037234,3.0701278234985114,166.4635814889336
Ahmedabad,2016,5,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,3.280840304500551,8.700972080037232,3.0701278234985114,166.4635814889336
Ahmedabad,2016,6,62.85383422238236,118.12710293078102,32.90190688866071,3.360785114540852,23.483476019371974,34.129573078782336,12.804046955122002,2.843394930567144,7.540842469365601,2.6607774470320433,175.85055667337357
Ahmedabad,2016,7,39.51647025641621,118.12710293078102,32.54739107526032,19.13543865190599,23.483476019371977,24.867051489733388,10.718773459868066,0.696801300145179,2.172289421936685,0.6406492846289843,316.1046796910495
Ahmedabad,2016,8,49.219373482222665,118.12710293078102,32.28706849461516,16.342212845454373,23.483476019371977,9.415852595984454,16.216837975997098,4.3597045259516305,8.424224905807653,1.6374234781773713,310.287972999286
Ahmedabad,2016,9,41.23672446155694,118.12710293078102,20.066245666640338,9.34985982090856,23.483476019371974,19.32214304755181,17.200197725591,2.0617506971167217,6.13276387467039,1.4740127823498512,223.5796914822267
Ahmedabad,2016,10,107.59453477254525,118.12710293078102,25.550616881711935,13.187051555131793,23.483476019371977,28.58553001533929,26.878773459868064,2.845833558209695,8.174224905807653,3.1474234781773713,321.2407606931914
Ahmedabad,2016,11,83.86083422238237,118.12710293078102,31.24057355532738,3.387785114540852,23.483476019371974,36.193906412115666,16.542713621788668,0.22633333333333333,0.6649999999999999,0.47200000000000003,197.20177062374248
Ahmedabad,2016,12,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,0.10583355820969519,0.28067651871087845,0.09903638140317779,166.4635814889336
Ahmedabad,2017,1,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,0.0,0.0,0.0,166.4635814889336
Ahmedabad,2017,2,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,0.0,0.0,0.0,166.4635814889336
Ahmedabad,2017,3,67.45057794890272,118.12710293078102,32.309123333070055,2.248598209085598,23.483476019371977,34.49143047551808,14.531977255910002,0.8466684656775615,2.2454121496870276,0.7922910512254223,166.4635814889336
